County,Date,Predicted
Jones,12/4/2015,882.68
Karnes,12/4/2015,469.76
Kaufman,12/4/2015,3703.15
Kendall,12/4/2015,1225.29
Kenedy,12/4/2015,11.68
Kent,12/4/2015,13.15
Kerr,12/4/2015,2238.72
Kimble,12/4/2015,196.51
King,12/4/2015,4.41
Kinney,12/4/2015,156.11
Kleberg,12/4/2015,939.81
Knox,12/4/2015,64.70
La Salle,12/4/2015,218.20
Lamar,12/4/2015,830.48
Lampasas,12/4/2015,892.47
Lavaca,12/4/2015,621.50
Lee,12/4/2015,527.64
Leon,12/4/2015,344.15
Liberty,12/4/2015,1594.52
Limestone,12/4/2015,783.12
Live Oak,12/4/2015,353.00
Llano,12/4/2015,863.86
Loving,12/4/2015,8.90
Lubbock,12/4/2015,4929.75
Lynn,12/4/2015,96.78
Madison,12/4/2015,282.92
Martin,12/4/2015,565.11
Mason,12/4/2015,180.24
Matagorda,12/4/2015,1327.33
Maverick,12/4/2015,1664.85
McCulloch,12/4/2015,363.03
McLennan,12/4/2015,8104.37
McMullen,12/4/2015,23.47
Medina,12/4/2015,1509.38
Menard,12/4/2015,95.07
Midland,12/4/2015,16128.43
Milam,12/4/2015,764.42
Mills,12/4/2015,162.13
Mitchell,12/4/2015,401.84
Montague,12/4/2015,325.60
Montgomery,12/4/2015,18861.88
Motley,12/4/2015,19.34
Nacogdoches,12/4/2015,1332.92
Navarro,12/4/2015,1604.45
Nolan,12/4/2015,668.26
Nueces,12/4/2015,10400.12
Oldham,12/4/2015,34.73
Palo Pinto,12/4/2015,935.34
Parker,12/4/2015,4100.21
Pecos,12/4/2015,1644.92
Polk,12/4/2015,940.53
Potter,12/4/2015,2039.61
Presidio,12/4/2015,721.99
Rains,12/4/2015,225.19
Reagan,12/4/2015,388.66
Real,12/4/2015,149.25
Red River,12/4/2015,208.72
Reeves,12/4/2015,1485.11
Refugio,12/4/2015,213.17
Robertson,12/4/2015,336.78
Rockwall,12/4/2015,2923.25
Runnels,12/4/2015,461.18
Rusk,12/4/2015,1100.67
San Jacinto,12/4/2015,553.13
San Patricio,12/4/2015,1953.63
San Saba,12/4/2015,248.92
Schleicher,12/4/2015,140.00
Scurry,12/4/2015,767.22
Shackelford,12/4/2015,111.29
Smith,12/4/2015,4466.96
Somervell,12/4/2015,289.44
Starr,12/4/2015,1838.02
Stephens,12/4/2015,313.08
Sterling,12/4/2015,59.27
Stonewall,12/4/2015,23.51
Sutton,12/4/2015,175.88
Swisher,12/4/2015,127.11
Tarrant,12/4/2015,64762.86
Taylor,12/4/2015,5983.71
Terrell,12/4/2015,95.93
Throckmorton,12/4/2015,53.54
Titus,12/4/2015,663.49
Tom Green,12/4/2015,5163.04
Travis,12/4/2015,36278.45
Trinity,12/4/2015,290.35
